https://voyage.gc.ca/destinations/acores,Açores,Prendre des mesures de sécurité normales,2019-02-08 16:04:21
https://voyage.gc.ca/destinations/afghanistan,Afghanistan,Éviter tout voyage,2019-03-07 14:27:00
https://voyage.gc.ca/destinations/afrique-du-sud,Afrique du Sud,Faire preuve d’une grande prudence,2018-11-22 15:17:32
https://voyage.gc.ca/destinations/albanie,Albanie,Prendre des mesures de sécurité normales (avec avertissements régionaux),2019-02-22 12:28:37
https://voyage.gc.ca/destinations/algerie,Algérie,Faire preuve d’une grande prudence (avec avertissements régionaux),2019-03-03 14:31:52
https://voyage.gc.ca/destinations/allemagne,Allemagne,Prendre des mesures de sécurité normales,2018-12-11 09:00:26
https://voyage.gc.ca/destinations/andorre,Andorre,Prendre des mesures de sécurité normales,2018-06-25 12:17:05
https://voyage.gc.ca/destinations/angola,Angola,Faire preuve d’une grande prudence (avec avertissements régionaux),2018-12-18 10:16:59
https://voyage.gc.ca/destinations/anguilla,Anguilla,Prendre des mesures de sécurité normales,2018-11-27 13:40:58
https://voyage.gc.ca/destinations/antarctique,Antarctique,Prendre des mesures de sécurité normales,2018-07-24 15:13:58
https://voyage.gc.ca/destinations/antigua-et-barbuda,Antigua-et-Barbuda,Prendre des mesures de sécurité normales,2019-01-09 10:33:43
https://voyage.gc.ca/destinations/arabie-saoudite,Arabie saoudite,Faire preuve d’une grande prudence (avec avertissements régionaux),2019-02-28 14:20:30
https://voyage.gc.ca/destinations/argentine,Argentine,Prendre des mesures de sécurité normales,2019-01-16 11:09:05
https://voyage.gc.ca/destinations/armenie,Arménie,Faire preuve d’une grande prudence (avec avertissements régionaux),2018-11-05 16:50:12
https://voyage.gc.ca/destinations/aruba,Aruba,Prendre des mesures de sécurité normales,2019-02-06 10:04:01
https://voyage.gc.ca/destinations/australie,Australie,Prendre des mesures de sécurité normales,2018-12-17 11:39:52
https://voyage.gc.ca/destinations/autriche,Autriche,Prendre des mesures de sécurité normales,2018-05-01 10:55:56
https://voyage.gc.ca/destinations/azerbaidjan,Azerbaïdjan,Faire preuve d’une grande prudence (avec avertissements régionaux),2018-10-30 17:05:06
https://voyage.gc.ca/destinations/bahamas,Bahamas,Faire preuve d’une grande prudence,2019-01-29 10:42:09
https://voyage.gc.ca/destinations/bahrein,Bahreïn,Faire preuve d’une grande prudence,2018-12-03 12:31:40
https://voyage.gc.ca/destinations/bangladesh,Bangladesh,Faire preuve d’une grande prudence (avec avertissements régionaux),2019-01-17 15:08:55
https://voyage.gc.ca/destinations/barbade,Barbade,Prendre des mesures de sécurité normales,2019-02-25 10:52:39
https://voyage.gc.ca/destinations/belarus,Bélarus,Prendre des mesures de sécurité normales,2018-12-14 11:58:40
https://voyage.gc.ca/destinations/belgique,Belgique,Faire preuve d’une grande prudence,2018-10-30 16:19:05
https://voyage.gc.ca/destinations/belize,Belize,Faire preuve d’une grande prudence,2018-12-28 14:13:40
https://voyage.gc.ca/destinations/benin,Bénin,Faire preuve d’une grande prudence (avec avertissements régionaux),2019-03-11 10:04:26
https://voyage.gc.ca/destinations/bermudes,Bermudes,Prendre des mesures de sécurité normales,2019-01-11 12:01:35
https://voyage.gc.ca/destinations/bhoutan,Bhoutan,Prendre des mesures de sécurité normales,2018-08-31 16:28:27
